region,combination,player_games,regional_player_game_share_pct,prevalence_rank,placing,observations,mean_rating_change
lan,R0 / GM+0,1193,52.164407520769565,1,1,277,58.87725631768953
lan,R0 / GM+0,1193,52.164407520769565,1,2,208,29.740384615384617
lan,R0 / GM+0,1193,52.164407520769565,1,3,200,5.845
lan,R0 / GM+0,1193,52.164407520769565,1,4,198,-29.393939393939394
lan,R0 / GM+0,1193,52.164407520769565,1,5,148,-53.95945945945946
lan,R0 / GM+0,1193,52.164407520769565,1,6,162,-81.3395061728395
lan,R0 / GM+1,253,11.062527328377787,3,1,59,56.52542372881356
lan,R0 / GM+1,253,11.062527328377787,3,2,48,27.458333333333332
lan,R0 / GM+1,253,11.062527328377787,3,3,47,-3.5106382978723403
lan,R0 / GM+1,253,11.062527328377787,3,4,37,-33.7027027027027
lan,R0 / GM+1,253,11.062527328377787,3,5,27,-70.66666666666667
lan,R0 / GM+1,253,11.062527328377787,3,6,35,-94.4
lan,R1 / GM+0,455,19.89505902929602,2,1,100,54.05
lan,R1 / GM+0,455,19.89505902929602,2,2,90,27.72222222222222
lan,R1 / GM+0,455,19.89505902929602,2,3,84,2.0833333333333335
lan,R1 / GM+0,455,19.89505902929602,2,4,68,-21.191176470588236
lan,R1 / GM+0,455,19.89505902929602,2,5,57,-49.54385964912281
lan,R1 / GM+0,455,19.89505902929602,2,6,56,-71.16071428571429
las,R0 / GM+0,889,44.83106404437721,1,1,213,54.563380281690144
las,R0 / GM+0,889,44.83106404437721,1,2,173,27.294797687861273
las,R0 / GM+0,889,44.83106404437721,1,3,155,5.7612903225806456
las,R0 / GM+0,889,44.83106404437721,1,4,138,-30.246376811594203
las,R0 / GM+0,889,44.83106404437721,1,5,98,-61.46938775510204
las,R0 / GM+0,889,44.83106404437721,1,6,112,-85.89285714285714
las,R1 / GM+0,290,14.624306606152295,2,1,72,57.05555555555556
las,R1 / GM+0,290,14.624306606152295,2,2,58,27.310344827586206
las,R1 / GM+0,290,14.624306606152295,2,3,42,3.880952380952381
las,R1 / GM+0,290,14.624306606152295,2,4,41,-24.804878048780488
las,R1 / GM+0,290,14.624306606152295,2,5,41,-42.1219512195122
las,R1 / GM+0,290,14.624306606152295,2,6,36,-62.27777777777778
las,R1 / GM+1,193,9.732728189611699,3,1,64,49.6875
las,R1 / GM+1,193,9.732728189611699,3,2,41,20.804878048780488
las,R1 / GM+1,193,9.732728189611699,3,3,29,-5.862068965517241
las,R1 / GM+1,193,9.732728189611699,3,4,26,-38.23076923076923
las,R1 / GM+1,193,9.732728189611699,3,5,17,-72.29411764705883
las,R1 / GM+1,193,9.732728189611699,3,6,16,-105.0
las,R2 / GM+1,181,9.127584467977812,4,1,61,40.31147540983606
las,R2 / GM+1,181,9.127584467977812,4,2,46,17.565217391304348
las,R2 / GM+1,181,9.127584467977812,4,3,25,-10.24
las,R2 / GM+1,181,9.127584467977812,4,4,18,-33.27777777777778
las,R2 / GM+1,181,9.127584467977812,4,5,16,-67.8125
las,R2 / GM+1,181,9.127584467977812,4,6,15,-87.6
las,R2 / GM+2,171,8.623298033282904,5,1,88,49.36363636363637
las,R2 / GM+2,171,8.623298033282904,5,2,29,27.862068965517242
las,R2 / GM+2,171,8.623298033282904,5,3,19,-26.157894736842106
las,R2 / GM+2,171,8.623298033282904,5,4,19,-75.63157894736842
las,R2 / GM+2,171,8.623298033282904,5,5,8,-128.125
las,R2 / GM+2,171,8.623298033282904,5,6,8,-126.625
na,R0 / GM+0,1126,17.599249765551736,2,1,220,56.32727272727273
na,R0 / GM+0,1126,17.599249765551736,2,2,216,32.601851851851855
na,R0 / GM+0,1126,17.599249765551736,2,3,191,8.643979057591624
na,R0 / GM+0,1126,17.599249765551736,2,4,180,-22.9
na,R0 / GM+0,1126,17.599249765551736,2,5,177,-44.22598870056497
na,R0 / GM+0,1126,17.599249765551736,2,6,142,-77.97887323943662
na,R0 / GM+1,455,7.11159737417943,5,1,97,62.78350515463917
na,R0 / GM+1,455,7.11159737417943,5,2,82,29.951219512195124
na,R0 / GM+1,455,7.11159737417943,5,3,96,4.729166666666667
na,R0 / GM+1,455,7.11159737417943,5,4,66,-22.984848484848484
na,R0 / GM+1,455,7.11159737417943,5,5,59,-57.932203389830505
na,R0 / GM+1,455,7.11159737417943,5,6,55,-84.89090909090909
na,R1 / GM+1,757,11.83182244451391,3,1,219,39.83561643835616
na,R1 / GM+1,757,11.83182244451391,3,2,173,17.872832369942195
na,R1 / GM+1,757,11.83182244451391,3,3,116,-8.905172413793103
na,R1 / GM+1,757,11.83182244451391,3,4,127,-30.53543307086614
na,R1 / GM+1,757,11.83182244451391,3,5,69,-58.44927536231884
na,R1 / GM+1,757,11.83182244451391,3,6,53,-83.75471698113208
na,R2 / GM+1,734,11.472335104720226,4,1,265,28.641509433962263
na,R2 / GM+1,734,11.472335104720226,4,2,161,15.167701863354038
na,R2 / GM+1,734,11.472335104720226,4,3,111,-8.387387387387387
na,R2 / GM+1,734,11.472335104720226,4,4,90,-27.255555555555556
na,R2 / GM+1,734,11.472335104720226,4,5,68,-41.161764705882355
na,R2 / GM+1,734,11.472335104720226,4,6,39,-59.05128205128205
na,R2 / GM+2,2445,38.21506720850266,1,1,1181,47.869602032176125
na,R2 / GM+2,2445,38.21506720850266,1,2,490,14.208163265306123
na,R2 / GM+2,2445,38.21506720850266,1,3,337,-24.272997032640948
na,R2 / GM+2,2445,38.21506720850266,1,4,230,-64.40434782608696
na,R2 / GM+2,2445,38.21506720850266,1,5,114,-101.65789473684211
na,R2 / GM+2,2445,38.21506720850266,1,6,93,-144.93548387096774
oce,R0 / GM+0,171,15.87743732590529,3,1,37,46.16216216216216
oce,R0 / GM+0,171,15.87743732590529,3,2,35,23.285714285714285
oce,R0 / GM+0,171,15.87743732590529,3,3,30,1.8
oce,R0 / GM+0,171,15.87743732590529,3,4,25,-30.6
oce,R0 / GM+0,171,15.87743732590529,3,5,26,-58.19230769230769
oce,R0 / GM+0,171,15.87743732590529,3,6,18,-96.83333333333333
oce,R1 / GM+1,134,12.44196843082637,4,1,59,35.25423728813559
oce,R1 / GM+1,134,12.44196843082637,4,2,32,9.1875
oce,R1 / GM+1,134,12.44196843082637,4,3,21,-18.333333333333332
oce,R1 / GM+1,134,12.44196843082637,4,4,10,-44.8
oce,R1 / GM+1,134,12.44196843082637,4,5,5,-89.8
oce,R1 / GM+1,134,12.44196843082637,4,6,7,-107.57142857142857
oce,R2 / GM+0,77,7.149489322191272,5,1,31,31.483870967741936
oce,R2 / GM+0,77,7.149489322191272,5,2,19,9.736842105263158
oce,R2 / GM+0,77,7.149489322191272,5,3,11,-1.7272727272727273
oce,R2 / GM+0,77,7.149489322191272,5,4,7,-19.428571428571427
oce,R2 / GM+0,77,7.149489322191272,5,5,6,-53.333333333333336
oce,R2 / GM+0,77,7.149489322191272,5,6,3,-22.0
oce,R2 / GM+1,218,20.2414113277623,2,1,110,27.4
oce,R2 / GM+1,218,20.2414113277623,2,2,48,5.645833333333333
oce,R2 / GM+1,218,20.2414113277623,2,3,26,-17.615384615384617
oce,R2 / GM+1,218,20.2414113277623,2,4,18,-43.44444444444444
oce,R2 / GM+1,218,20.2414113277623,2,5,7,-91.42857142857143
oce,R2 / GM+1,218,20.2414113277623,2,6,9,-108.66666666666667
oce,R2 / GM+2,328,30.45496750232126,1,1,205,44.11707317073171
oce,R2 / GM+2,328,30.45496750232126,1,2,64,-3.28125
oce,R2 / GM+2,328,30.45496750232126,1,3,29,-34.44827586206897
